titleType,averageRating,numVotes,movie,tvMiniSeries,tvMovie,tvSeries
movie,7.7,6801.0,1.0,0.0,0.0,0.0
tvSeries,7.7,8666.0,0.0,0.0,0.0,1.0
tvSeries,7.6,9714.0,0.0,0.0,0.0,1.0
movie,6.8,11974.0,1.0,0.0,0.0,0.0
tvSeries,7.1,5611.0,0.0,0.0,0.0,1.0
movie,7.3,7417.0,1.0,0.0,0.0,0.0
movie,7.7,14501.0,1.0,0.0,0.0,0.0
movie,6.6,5602.0,1.0,0.0,0.0,0.0
movie,6.7,82266.0,1.0,0.0,0.0,0.0
movie,6.7,36525.0,1.0,0.0,0.0,0.0
movie,7.4,18766.0,1.0,0.0,0.0,0.0
tvSeries,7.5,11390.0,0.0,0.0,0.0,1.0
movie,7.5,31745.0,1.0,0.0,0.0,0.0
tvSeries,8.1,15283.0,0.0,0.0,0.0,1.0
tvSeries,7.4,8275.0,0.0,0.0,0.0,1.0
movie,8.5,5842.0,1.0,0.0,0.0,0.0
tvSeries,7.5,39718.0,0.0,0.0,0.0,1.0
movie,6.7,12046.0,1.0,0.0,0.0,0.0
tvSeries,8.3,9263.0,0.0,0.0,0.0,1.0
movie,8.4,3140.0,1.0,0.0,0.0,0.0
movie,6.7,44463.0,1.0,0.0,0.0,0.0
movie,6.7,10370.0,1.0,0.0,0.0,0.0
movie,7.4,7041.0,1.0,0.0,0.0,0.0
tvSeries,6.9,14470.0,0.0,0.0,0.0,1.0
movie,7.7,72240.0,1.0,0.0,0.0,0.0
tvSeries,8.1,4604.0,0.0,0.0,0.0,1.0
tvSeries,7.9,26252.0,0.0,0.0,0.0,1.0
tvSeries,8.4,3987.0,0.0,0.0,0.0,1.0
movie,6.5,7487.0,1.0,0.0,0.0,0.0
movie,6.9,43367.0,1.0,0.0,0.0,0.0
movie,7.6,26725.0,1.0,0.0,0.0,0.0
movie,6.5,20439.0,1.0,0.0,0.0,0.0
tvSeries,8.3,5212.0,0.0,0.0,0.0,1.0
movie,7.1,6914.0,1.0,0.0,0.0,0.0
movie,6.5,44872.0,1.0,0.0,0.0,0.0
tvSeries,7.2,9223.0,0.0,0.0,0.0,1.0
movie,7.2,93651.0,1.0,0.0,0.0,0.0
movie,8.3,96370.0,1.0,0.0,0.0,0.0
tvSeries,7.5,4460.0,0.0,0.0,0.0,1.0
tvSeries,8.2,16321.0,0.0,0.0,0.0,1.0
movie,6.6,3908.0,1.0,0.0,0.0,0.0
movie,6.8,19854.0,1.0,0.0,0.0,0.0
movie,7.7,19549.0,1.0,0.0,0.0,0.0
movie,6.7,13957.0,1.0,0.0,0.0,0.0
movie,7.3,6433.0,1.0,0.0,0.0,0.0
movie,7.8,5339.0,1.0,0.0,0.0,0.0
tvSeries,6.8,3416.0,0.0,0.0,0.0,1.0
tvSeries,8.7,34770.0,0.0,0.0,0.0,1.0
tvSeries,7.2,11932.0,0.0,0.0,0.0,1.0
movie,6.5,20034.0,1.0,0.0,0.0,0.0
movie,6.6,6726.0,1.0,0.0,0.0,0.0
movie,6.8,128887.0,1.0,0.0,0.0,0.0
movie,6.9,3261.0,1.0,0.0,0.0,0.0
tvSeries,6.7,6646.0,0.0,0.0,0.0,1.0
tvSeries,7.6,8539.0,0.0,0.0,0.0,1.0
movie,7.3,8383.0,1.0,0.0,0.0,0.0
movie,6.7,9008.0,1.0,0.0,0.0,0.0
movie,6.8,19116.0,1.0,0.0,0.0,0.0
movie,7.0,4826.0,1.0,0.0,0.0,0.0
tvSeries,7.0,7069.0,0.0,0.0,0.0,1.0
tvSeries,7.0,17920.0,0.0,0.0,0.0,1.0
tvSeries,7.2,3062.0,0.0,0.0,0.0,1.0
tvSeries,8.3,26608.0,0.0,0.0,0.0,1.0
tvSeries,7.2,10622.0,0.0,0.0,0.0,1.0
movie,6.5,116457.0,1.0,0.0,0.0,0.0
tvMiniSeries,7.3,3444.0,0.0,1.0,0.0,0.0
movie,7.5,3900.0,1.0,0.0,0.0,0.0
tvSeries,7.5,13425.0,0.0,0.0,0.0,1.0
tvMiniSeries,6.9,7757.0,0.0,1.0,0.0,0.0
tvSeries,6.5,8133.0,0.0,0.0,0.0,1.0
tvSeries,8.2,104274.0,0.0,0.0,0.0,1.0
tvSeries,8.4,3622.0,0.0,0.0,0.0,1.0
movie,6.9,97897.0,1.0,0.0,0.0,0.0
movie,8.2,37996.0,1.0,0.0,0.0,0.0
tvSeries,7.6,36000.0,0.0,0.0,0.0,1.0
tvSeries,7.4,14258.0,0.0,0.0,0.0,1.0
tvSeries,8.4,16901.0,0.0,0.0,0.0,1.0
tvSeries,6.5,109474.0,0.0,0.0,0.0,1.0
movie,6.7,3688.0,1.0,0.0,0.0,0.0
movie,7.9,4882.0,1.0,0.0,0.0,0.0
tvSeries,7.1,4502.0,0.0,0.0,0.0,1.0
tvSeries,7.9,4322.0,0.0,0.0,0.0,1.0
tvMiniSeries,7.3,4376.0,0.0,1.0,0.0,0.0
movie,7.7,8073.0,1.0,0.0,0.0,0.0
tvSeries,7.6,9624.0,0.0,0.0,0.0,1.0
movie,7.4,24108.0,1.0,0.0,0.0,0.0
movie,7.1,29829.0,1.0,0.0,0.0,0.0
movie,7.5,28065.0,1.0,0.0,0.0,0.0
tvMiniSeries,8.6,10428.0,0.0,1.0,0.0,0.0
tvSeries,8.2,86599.0,0.0,0.0,0.0,1.0
movie,8.2,81803.0,1.0,0.0,0.0,0.0
movie,6.8,25105.0,1.0,0.0,0.0,0.0
movie,7.6,23455.0,1.0,0.0,0.0,0.0
movie,6.6,3159.0,1.0,0.0,0.0,0.0
movie,6.8,12248.0,1.0,0.0,0.0,0.0
movie,6.9,109975.0,1.0,0.0,0.0,0.0
tvSeries,8.0,48864.0,0.0,0.0,0.0,1.0
movie,7.4,10959.0,1.0,0.0,0.0,0.0
tvSeries,8.2,4011.0,0.0,0.0,0.0,1.0
tvMiniSeries,7.1,3709.0,0.0,1.0,0.0,0.0
movie,6.6,11248.0,1.0,0.0,0.0,0.0
movie,6.8,43411.0,1.0,0.0,0.0,0.0
movie,7.1,7330.0,1.0,0.0,0.0,0.0
tvSeries,7.1,4596.0,0.0,0.0,0.0,1.0
movie,8.0,7659.0,1.0,0.0,0.0,0.0
tvSeries,8.0,10976.0,0.0,0.0,0.0,1.0
movie,6.9,28445.0,1.0,0.0,0.0,0.0
movie,6.9,3153.0,1.0,0.0,0.0,0.0
movie,6.8,3331.0,1.0,0.0,0.0,0.0
tvSeries,7.6,3425.0,0.0,0.0,0.0,1.0
tvSeries,7.4,6036.0,0.0,0.0,0.0,1.0
movie,7.9,5248.0,1.0,0.0,0.0,0.0
movie,6.6,3968.0,1.0,0.0,0.0,0.0
movie,6.6,9729.0,1.0,0.0,0.0,0.0
tvSeries,7.8,35789.0,0.0,0.0,0.0,1.0
